"","source","target","date_followed","year","month","day"
"96",273,274,"2007-03-12 19:40:03","2007","03","12"
"97",299,292,"2007-03-12 19:40:05","2007","03","12"
"98",290,301,"2007-03-12 19:40:16","2007","03","12"
"99",301,290,"2007-03-12 19:40:16","2007","03","12"
"100",288,300,"2007-03-12 19:40:18","2007","03","12"
"101",300,288,"2007-03-12 19:40:18","2007","03","12"
"102",293,273,"2007-03-12 19:40:29","2007","03","12"
"103",273,293,"2007-03-12 19:40:29","2007","03","12"
"104",300,292,"2007-03-12 19:40:34","2007","03","12"
"105",288,301,"2007-03-12 19:40:34","2007","03","12"
"106",301,288,"2007-03-12 19:40:35","2007","03","12"
"107",299,273,"2007-03-12 19:40:37","2007","03","12"
"108",273,299,"2007-03-12 19:40:37","2007","03","12"
"109",298,300,"2007-03-12 19:40:42","2007","03","12"
"110",300,298,"2007-03-12 19:40:42","2007","03","12"
"111",301,292,"2007-03-12 19:40:49","2007","03","12"
"112",290,300,"2007-03-12 19:41:05","2007","03","12"
"113",300,290,"2007-03-12 19:41:05","2007","03","12"
"114",289,292,"2007-03-12 19:41:21","2007","03","12"
"115",298,301,"2007-03-12 19:41:22","2007","03","12"
"116",301,298,"2007-03-12 19:41:22","2007","03","12"
"117",297,273,"2007-03-12 19:41:26","2007","03","12"
"118",273,297,"2007-03-12 19:41:26","2007","03","12"
"119",288,302,"2007-03-12 19:41:31","2007","03","12"
"120",302,288,"2007-03-12 19:41:31","2007","03","12"
"121",298,302,"2007-03-12 19:41:36","2007","03","12"
"122",302,298,"2007-03-12 19:41:36","2007","03","12"
"123",290,302,"2007-03-12 19:41:46","2007","03","12"
"124",302,290,"2007-03-12 19:41:46","2007","03","12"
"125",301,300,"2007-03-12 19:41:49","2007","03","12"
"126",300,301,"2007-03-12 19:41:49","2007","03","12"
"127",300,302,"2007-03-12 19:41:56","2007","03","12"
"128",302,300,"2007-03-12 19:41:56","2007","03","12"
"129",302,292,"2007-03-12 19:42:01","2007","03","12"
"130",297,295,"2007-03-12 19:42:06","2007","03","12"
"131",295,297,"2007-03-12 19:42:06","2007","03","12"
"132",299,291,"2007-03-12 19:42:14","2007","03","12"
"133",291,299,"2007-03-12 19:42:14","2007","03","12"
"134",288,303,"2007-03-12 19:42:27","2007","03","12"
"135",300,299,"2007-03-12 19:42:31","2007","03","12"
"136",299,300,"2007-03-12 19:42:31","2007","03","12"
"137",300,297,"2007-03-12 19:42:46","2007","03","12"
"138",297,300,"2007-03-12 19:42:46","2007","03","12"
"139",300,273,"2007-03-12 19:42:57","2007","03","12"
"140",273,300,"2007-03-12 19:42:57","2007","03","12"
"141",299,294,"2007-03-12 19:43:10","2007","03","12"
"142",294,299,"2007-03-12 19:43:10","2007","03","12"
"143",300,293,"2007-03-12 19:43:14","2007","03","12"
"144",293,300,"2007-03-12 19:43:14","2007","03","12"
"145",300,294,"2007-03-12 19:43:23","2007","03","12"
"146",294,300,"2007-03-12 19:43:23","2007","03","12"
