source,target,date_followed
307,298,2007-03-12 19:46:13
290,307,2007-03-12 19:46:15
307,290,2007-03-12 19:46:15
301,273,2007-03-12 19:46:21
273,301,2007-03-12 19:46:21
300,305,2007-03-12 19:46:27
305,300,2007-03-12 19:46:27
298,291,2007-03-12 19:46:40
291,298,2007-03-12 19:46:40
297,306,2007-03-12 19:46:42
306,297,2007-03-12 19:46:42
307,306,2007-03-12 19:47:00
290,308,2007-03-12 19:47:01
308,290,2007-03-12 19:47:01
288,304,2007-03-12 19:47:02
304,288,2007-03-12 19:47:02
306,292,2007-03-12 19:47:06
298,308,2007-03-12 19:47:08
308,298,2007-03-12 19:47:08
288,306,2007-03-12 19:47:18
306,288,2007-03-12 19:47:18
298,309,2007-03-12 19:47:26
309,298,2007-03-12 19:47:26
288,307,2007-03-12 19:47:33
298,144,2007-03-12 19:47:40
144,298,2007-03-12 19:47:40
297,307,2007-03-12 19:47:53
307,297,2007-03-12 19:47:53
301,293,2007-03-12 19:47:56
293,301,2007-03-12 19:47:56
290,293,2007-03-12 19:47:57
293,290,2007-03-12 19:47:57
298,153,2007-03-12 19:48:08
153,298,2007-03-12 19:48:08
290,291,2007-03-12 19:48:26
291,290,2007-03-12 19:48:26
296,273,2007-03-12 19:48:28
273,296,2007-03-12 19:48:28
297,289,2007-03-12 19:49:11
289,297,2007-03-12 19:49:11
299,289,2007-03-12 19:49:33
289,299,2007-03-12 19:49:33
299,296,2007-03-12 19:49:55
296,299,2007-03-12 19:49:55
299,293,2007-03-12 19:50:25
293,299,2007-03-12 19:50:25
299,295,2007-03-12 19:50:43
295,299,2007-03-12 19:50:43
145,146,2007-03-12 19:51:13
290,296,2007-03-12 19:51:29
296,290,2007-03-12 19:51:29
299,304,2007-03-12 19:51:46
304,299,2007-03-12 19:51:46
299,303,2007-03-12 19:51:58
303,299,2007-03-12 19:51:58
299,302,2007-03-12 19:52:09
302,299,2007-03-12 19:52:09
298,297,2007-03-12 19:52:37
297,298,2007-03-12 19:52:37
298,296,2007-03-12 19:52:55
296,298,2007-03-12 19:52:55
300,291,2007-03-12 19:54:55
291,300,2007-03-12 19:54:55
307,292,2007-03-12 19:55:04
300,307,2007-03-12 19:55:18
307,300,2007-03-12 19:55:18
300,306,2007-03-12 19:55:32
306,300,2007-03-12 19:55:32
306,273,2007-03-12 19:55:49
273,306,2007-03-12 19:55:49
300,153,2007-03-12 19:56:02
153,300,2007-03-12 19:56:02
300,308,2007-03-12 19:57:12
308,300,2007-03-12 19:57:12
295,312,2007-03-12 19:57:53
312,295,2007-03-12 19:57:53
312,293,2007-03-12 19:57:53
293,312,2007-03-12 19:57:53
300,309,2007-03-12 19:57:57
309,300,2007-03-12 19:57:57
300,303,2007-03-12 19:58:16
303,300,2007-03-12 19:58:16
304,308,2007-03-12 19:58:38
308,304,2007-03-12 19:58:38
312,294,2007-03-12 19:58:51
294,312,2007-03-12 19:58:51
300,312,2007-03-12 19:59:57
312,300,2007-03-12 19:59:57
311,312,2007-03-12 20:00:12
312,311,2007-03-12 20:00:12
288,312,2007-03-12 20:00:17
312,288,2007-03-12 20:00:17
289,312,2007-03-12 20:00:21
312,289,2007-03-12 20:00:21
298,312,2007-03-12 20:00:35
312,298,2007-03-12 20:00:35
298,311,2007-03-12 20:00:41
311,298,2007-03-12 20:00:41
301,297,2007-03-12 20:00:59
297,301,2007-03-12 20:00:59
289,291,2007-03-12 20:01:14
291,289,2007-03-12 20:01:14
289,305,2007-03-12 20:01:34
305,289,2007-03-12 20:01:34
304,295,2007-03-12 20:01:55
295,304,2007-03-12 20:01:55
